time_ms,depth_m,pa
5377,0.826,104104.0
5785,0.964,105454.7
7009,1.377,109506.7
7417,1.515,110857.3
8029,1.722,112883.3
8641,1.928,114909.3
9661,2.341,118961.3
10273,2.548,120987.3
10681,2.686,122338.0
11293,2.892,124364.0
11905,3.099,126390.0
12313,3.237,127740.7
12925,3.443,129766.7
13537,3.650,131792.7
13945,3.788,133143.3
14557,3.994,135169.3
15169,4.201,137195.3
15577,4.338,138546.0
16189,4.545,140572.0
16801,4.752,142598.0
17209,4.889,143948.7
17821,5.096,145974.7
18433,5.303,148000.7
18841,5.440,149351.3
19249,5.578,150702.0
19861,5.854,153403.3
20473,6.060,155429.3
20881,6.198,156780.0
21493,6.404,158806.0
22105,6.611,160832.0
22513,6.749,162182.7
23125,6.955,164208.7
23737,7.162,166234.7
24145,7.300,167585.3
24757,7.506,169611.3
25369,7.713,171637.3
25777,7.851,172988.0
26389,8.057,175014.0
27001,8.264,177040.0
27409,8.402,178390.7
28633,8.815,182442.7
30265,9.434,188520.7
30673,9.572,189871.3
31285,9.779,191897.3
31897,9.985,193923.3
32305,10.123,195274.0
32917,10.330,197300.0
33529,10.536,199326.0
34141,10.743,201352.0
34753,10.950,203378.0
35977,11.363,207430.0
36385,11.500,208780.7
37201,11.776,211482.0
37609,11.914,212832.7
38425,12.189,215534.0
38833,12.327,216884.7
39445,12.533,218910.7
40057,12.809,221612.0
40669,13.015,223638.0
41281,13.222,225664.0
41689,13.360,227014.7
42505,13.635,229716.0
42913,13.773,231066.7
43729,14.048,233768.0
44137,14.186,235118.7
45361,14.599,239170.7
46585,15.013,243222.7
47197,15.219,245248.7
47809,15.426,247274.7
48217,15.563,248625.3
49033,15.839,251326.7
49441,15.977,252677.3
50053,16.183,254703.3
50665,16.459,257404.7
51277,16.665,259430.7
51889,16.872,261456.7
52501,17.078,263482.7
53113,17.285,265508.7
53521,17.423,266859.3
54337,17.698,269560.7
54745,17.836,270911.3
55561,18.111,273612.7
55969,18.249,274963.3
56581,18.456,276989.3
57193,18.662,279015.3
58417,19.076,283067.3
58825,19.213,284418.0
59641,19.489,287119.3
60049,19.626,288470.0
60865,19.971,291846.7
61273,20.109,293197.3
61885,20.315,295223.3
62497,20.522,297249.3
63109,20.728,299275.3
64973,21.348,305353.3
65585,21.555,307379.3
66197,21.761,309405.3
66605,21.899,310756.0
67421,22.174,313457.3
67829,22.312,314808.0
68645,22.588,317509.3
69053,22.725,318860.0
70277,23.207,323587.3
70889,23.414,325613.3
71501,23.621,327639.3
72113,23.827,329665.3
72725,24.034,331691.3
73133,24.172,333042.0
73949,24.447,335743.3
74357,24.585,337094.0
74969,24.791,339120.0
75581,24.998,341146.0
76193,25.205,343172.0
76805,25.411,345198.0
77417,25.618,347224.0
78029,25.824,349250.0
78437,25.962,350600.7
79253,26.238,353302.0
79661,26.444,355328.0
80885,26.857,359380.0
81497,27.064,361406.0
82109,27.270,363432.0
82721,27.477,365458.0
83333,27.684,367484.0
83741,27.821,368834.7
84557,28.097,371536.0
85781,28.510,375588.0
86189,28.648,376938.7
86801,28.854,378964.7
87413,29.061,380990.7
88025,29.268,383016.7
88637,29.474,385042.7
89045,29.612,386393.3
89861,29.956,389770.0
90269,30.094,391120.7
91085,30.369,393822.0
91493,30.507,395172.7
92717,30.920,399224.7
93330,31.127,401250.7
93942,31.333,403276.7
94554,31.540,405302.7
95166,31.747,407328.7
95574,31.884,408679.3
96390,32.160,411380.7
96798,32.298,412731.3
97614,32.573,415432.7
98022,32.711,416783.3
98634,32.917,418809.3
99246,33.124,420835.3
99858,33.399,423536.7
100470,33.606,425562.7
100878,33.744,426913.3
101694,34.019,429614.7
102102,34.157,430965.3
102918,34.432,433666.7
103326,34.570,435017.3
104550,34.983,439069.3
105162,35.190,441095.3
105774,35.397,443121.3
106386,35.603,445147.3
106998,35.810,447173.3
107406,35.947,448524.0
108222,36.223,451225.3
108630,36.361,452576.0
109446,36.636,455277.3
109854,36.843,457303.3
110466,37.049,459329.3
111078,37.256,461355.3
111690,37.462,463381.3
112302,37.669,465407.3
113526,38.082,469459.3
113934,38.220,470810.0
114750,38.495,473511.3
115770,38.840,476888.0
116382,39.046,478914.0
116994,39.253,480940.0
117606,39.460,482966.0
118218,39.666,484992.0
118830,39.873,487018.0
119238,40.010,488368.7
120054,40.355,491745.3
121278,40.768,495797.3
121686,40.906,497148.0
122298,41.112,499174.0
122910,41.319,501200.0
123749,41.594,503901.3
124157,41.732,505252.0
124769,41.939,507278.0
125381,42.145,509304.0
125993,42.352,511330.0
126605,42.558,513356.0
127829,42.972,517408.0
128237,43.109,518758.7
129053,43.385,521460.0
130277,43.867,526187.4
130685,44.005,527538.0
131297,44.211,529564.0
131909,44.418,531590.0
132521,44.624,533616.0
133133,44.831,535642.0
133745,45.038,537668.0
134357,45.244,539694.0
134765,45.382,541044.6
135581,45.657,543746.0
136601,46.002,547122.6
137213,46.208,549148.6
138437,46.621,553200.7
139049,46.828,555226.7
139661,47.104,557928.0
140885,47.517,561980.0
141293,47.654,563330.6
142109,47.930,566032.0
142517,48.068,567382.7
143129,48.274,569408.7
143741,48.481,571434.6
144353,48.687,573460.6
144965,48.894,575486.6
145577,49.101,577512.6
146189,49.307,579538.6
146597,49.445,580889.4
147413,49.720,583590.7
147821,49.858,584941.4
148637,50.134,587642.6
149045,50.271,588993.4
149657,50.547,591694.6
150269,50.753,593720.6
150881,50.960,595746.7
151901,51.304,599123.4
152717,51.580,601824.6
153125,51.650,602514.1
153737,51.654,602556.6
154145,51.657,602584.9
154553,51.660,602613.1
154961,51.663,602641.4
155369,51.666,602669.8
155777,51.669,602698.0
156185,51.672,602726.3
156593,51.675,602754.6
157001,51.677,602782.8
157409,51.680,602811.1
157817,51.683,602839.4
158225,51.686,602867.6
158633,51.689,602895.9
159041,51.692,602924.2
159449,51.695,602952.5
159857,51.699,602994.9
160265,51.702,603023.1
160673,51.705,603051.3
161081,51.708,603079.6
161489,51.711,603107.9
161693,51.712,603122.0
162101,51.715,603150.1
162509,51.718,603178.4
162917,51.721,603206.6
163325,51.724,603234.9
163733,51.726,603263.1
164141,51.729,603291.2
164549,51.732,603319.5
164957,51.735,603347.6
165365,51.738,603375.9
165773,51.741,603404.0
166181,51.744,603432.2
166589,51.747,603460.4
166997,51.749,603488.5
168017,51.757,603558.9
168425,51.759,603587.0
168833,51.762,603615.1
169241,51.765,603643.2
169649,51.768,603671.4
170057,51.772,603713.4
170465,51.775,603741.6
170873,51.778,603769.6
171281,51.781,603797.7
172097,51.787,603853.8
172301,51.788,603867.8
172709,51.791,603895.8
173117,51.794,603923.8
173525,51.797,603951.8
173933,51.800,603979.9
174341,51.802,604007.8
174749,51.805,604035.8
175157,51.808,604063.8
175565,51.811,604091.6
175973,51.814,604119.6
176381,51.817,604147.5
176789,51.819,604175.4
177197,51.822,604203.3
177605,51.825,604231.2
178013,51.828,604259.0
178421,51.831,604286.9
178829,51.834,604314.8
179237,51.837,604342.5
179645,51.839,604370.4
180053,51.842,604398.1
180461,51.846,604439.8
180869,51.849,604467.6
181889,51.856,604536.9
182297,51.859,604564.6
182501,51.861,604578.4
183317,51.866,604633.8
183725,51.869,604661.5
184337,51.873,604702.9
184745,51.876,604730.5
185153,51.879,604758.1
185561,51.882,604785.6
185969,51.885,604813.2
186377,51.887,604840.8
186785,51.890,604868.2
187193,51.893,604895.8
187601,51.896,604923.2
188009,51.899,604950.7
188417,51.901,604978.1
188825,51.904,605005.5
189233,51.907,605032.9
189437,51.908,605046.6
189845,51.911,605074.0
190253,51.914,605101.4
190661,51.918,605142.3
191069,51.921,605169.6
191477,51.924,605196.9
191885,51.926,605224.1
192293,51.929,605251.4
192701,51.932,605278.6
193109,51.935,605305.8
193517,51.938,605332.9
193925,51.940,605360.1
194333,51.943,605387.2
194741,51.946,605414.4
195149,51.949,605441.4
196169,51.955,605509.0
196577,51.958,605536.0
196985,51.961,605563.0
197393,51.964,605590.0
197801,51.966,605616.9
198209,51.969,605643.8
198617,51.972,605670.6
199025,51.975,605697.5
199433,51.977,605724.3
199637,51.979,605737.8
200045,51.982,605764.5
200453,51.984,605791.4
200861,51.988,605831.4
201269,51.991,605858.1
201677,51.994,605884.8
202085,51.996,605911.4
202493,51.999,605938.1
202901,52.002,605964.6
203309,52.005,605991.2
203717,52.007,606017.8
204125,52.010,606044.2
204533,52.013,606070.8
204941,52.015,606097.2
205349,52.018,606123.7
205757,52.021,606150.1
206165,52.024,606176.4
206573,52.026,606202.8
206981,52.029,606229.1
207389,52.032,606255.4
207797,52.034,606281.6
208205,52.037,606307.9
208613,52.040,606334.1
209021,52.042,606360.2
209429,52.045,606386.4
209837,52.048,606412.5
210245,52.050,606438.6
210653,52.053,606464.6
211061,52.057,606503.6
211469,52.060,606529.6
211877,52.062,606555.5
212285,52.065,606581.4
212693,52.067,606607.3
213101,52.070,606633.1
213509,52.073,606658.9
213917,52.075,606684.8
214325,52.078,606710.5
214733,52.081,606736.2
215141,52.083,606761.9
215549,52.086,606787.6
215957,52.088,606813.1
216365,52.091,606838.8
216773,52.094,606864.2
217181,52.096,606889.8
217589,52.099,606915.2
217997,52.101,606940.6
218405,52.104,606966.1
218813,52.107,606991.5
219221,52.109,607016.8
219629,52.112,607042.1
220037,52.114,607067.4
220445,52.117,607092.6
220853,52.120,607117.8
221261,52.123,607155.6
221669,52.126,607180.7
222077,52.128,607205.8
222485,52.131,607230.8
222893,52.134,607255.8
223301,52.136,607280.8
223709,52.139,607305.6
224117,52.141,607330.5
224525,52.144,607355.4
224933,52.146,607380.2
225341,52.149,607404.9
225749,52.151,607429.7
226157,52.154,607454.4
226565,52.156,607479.0
226973,52.159,607503.6
227381,52.161,607528.2
227789,52.164,607552.8
228197,52.166,607577.2
228605,52.169,607601.8
229013,52.171,607626.1
229421,52.174,607650.5
229829,52.176,607674.8
230237,52.179,607699.1
230645,52.181,607723.4
231053,52.184,607747.6
231461,52.187,607783.9
231869,52.190,607808.0
232277,52.192,607832.1
232685,52.195,607856.1
